WORD,WORDDEF
scintillate,physics: fluoresce momentarily when struck by a charged particle or high-energy photon
sciolism,pretentious superficiality of knowledge
scion,a descendent or heir
scoff,treat with contemptuous disregard
scoop,a large ladle
scope,the state of the environment in which a situation exists
scorn,look down on with disdain
scornful,expressing extreme contempt
scotch,"hinder or prevent (the efforts, plans, or desires) of"
scourge,cause extensive destruction or ruin utterly
scrape,scratch repeatedly
screed,a long monotonous harangue
scrub,(of domestic animals) not selectively bred
scrupulous,"having scruples, arising from a sense of right and wrong, principled"
scrutinize,examine carefully for accuracy with the intent of verification
scrutiny,a prolonged intense look
scullion,a kitchen servant employed to do menial tasks (especially washing)
scurrilous,expressing offensive reproach
scurry,rushing about hastily in an undignified way
scurvy,of the most contemptible kind
scuttle,to move about or proceed hurriedly
seamless,"smooth, especially of skin"
seamy,showing a seam
sebaceous,containing an unusual amount of grease or oil
secede,withdraw from an organization or communion
secession,the withdrawal of eleven southern states from the Union in 1860 which precipitated the American Civil War
seclude,keep away from others
seclusion,the act of secluding yourself from others
secrete,generate and separate from cells or bodily fluids
secretion,the organic process of synthesizing and releasing some substance
sect,a subdivision of a larger religious group
sectarian,of or relating to or characteristic of a sect or sects
secular,of or relating to clergy not bound by monastic vows
secure,get by special effort
sedate,characterized by dignity and propriety
sedentary,requiring sitting or little activity
sedition,an illegal action inciting resistance to lawful authority and tending to cause the disruption or overthrow of the government
seditionist,conduct or language inciting rebellion against the authority of a state
seditious,arousing to action or rebellion
seduce,induce to have sex
seductive,tending to entice into a desired action or state
sedulity,the quality of being constantly diligent and attentive
sedulous,marked by care and persistent effort
seemly,according with custom or propriety
seethe,be in an agitated emotional state
segment,divide or split up
segregate,separate or isolate (one thing) from another and place in a group apart from others
seine,"a large fishnet that hangs vertically, with floats at the top and weights at the bottom"
seismic,subject to or caused by an earthquake or earth vibration
seize,"take hold of, grab"
select,"pick out, select, or choose from a number of alternatives"
self-made,having achieved success or recognition by your own efforts
semblance,picture consisting of a graphic image of a person or thing
semiannual,occurring or payable twice each year
semicircle,a plane figure with the shape of half a circle
semicivilized,Partly civilized.
semiconscious,"partially conscious, not completely aware of sensations"
semidetached,attached on one side only
seminal,containing seeds of later development
semiskilled,possessing or requiring limited skills
send,cause to go somewhere
senescence,the property characteristic of old age
senility,the state of being senile
sensation,a general feeling of excitement and heightened interest
sensory,of a nerve fiber or impulse originating outside and passing toward the central nervous system
sensual,marked by the appetites and passions of the body
sensuous,taking delight in beauty
sententious,abounding in or given to pompous or aphoristic moralizing
sentient,endowed with feeling and unstructured consciousness
sentry,a person employed to keep watch for some anticipated event
septic,of or relating to or caused by putrefaction
sepulcher,a chamber that is used as a grave
sequacious,"Persisting in a continuous intellectual or stylistic direction: I make these notes, but am tired of notes . . . I want something sequacious now &amp, robust”  ( Virginia Woolf)."
